,Unnamed: 0,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals,home_result_list
0,0,3-4-3,165,601,133,370,2237,2258,4-4-1-1,285,588,435,370,2314,2342,4,3,W
1,1,4-4-2,277,435,282,278,2224,2210,3-5-2,228,491,285,232,2277,2216,0,2,L
2,2,3-4-3,312,300,260,340,2232,2267,4-4-1-1,214,485,237,387,2255,2233,2,3,L
3,3,3-5-2,145,381,292,215,2217,2322,4-2-3-1,315,602,206,150,2095,2258,0,3,L
4,4,3-4-3,226,483,146,152,2346,2317,3-4-3,278,491,357,211,2011,2188,1,0,W
5,5,4-2-3-1,218,849,190,291,2219,2211,4-3-3,287,639,193,215,2149,2304,0,0,D
6,6,4-3-3,224,518,75,353,2282,2445,4-3-3,301,462,83,311,2268,2290,3,3,D
7,7,4-1-4-1,311,401,295,135,1893,1985,4-4-2,402,469,213,298,2128,2199,1,0,W
8,8,4-5-1,241,485,80,243,2377,2358,4-2-3-1,218,446,118,297,2169,2207,4,0,W
9,9,4-2-3-1,203,508,405,150,2171,2212,4-2-3-1,346,459,0,277,2223,2208,0,2,L
10,10,4-4-1-1,402,469,213,298,2128,2199,4-3-3,224,518,75,353,2282,2445,0,2,L
11,11,4-4-2,214,485,237,387,2255,2233,4-1-4-1,311,401,295,135,1893,1985,0,1,L
12,12,4-4-1-1,285,588,435,370,2314,2342,4-4-1-1,277,435,282,278,2224,2210,2,0,W
13,13,4-3-3,301,462,83,311,2268,2290,3-5-2,145,381,292,215,2217,2322,1,0,W
14,14,4-2-3-1,218,849,190,291,2219,2211,4-2-3-1,218,446,118,297,2169,2207,3,2,W
15,15,3-4-3,278,491,357,211,2011,2188,3-4-3,165,601,133,370,2237,2258,1,0,W
16,16,3-5-2,287,639,193,215,2149,2304,4-2-3-1,241,485,80,243,2377,2358,0,4,L
17,17,4-2-3-1,315,602,206,150,2095,2258,4-2-3-1,203,508,405,150,2171,2212,1,0,W
18,18,4-3-2-1,346,459,0,277,2223,2208,3-5-1-1,312,300,260,340,2232,2267,1,2,L
19,19,3-5-2,228,491,285,232,2277,2216,3-5-2,226,483,146,152,2346,2317,1,1,D
20,20,3-5-2,402,469,213,298,2128,2199,4-3-3,228,491,285,232,2277,2216,1,2,L
21,21,3-5-2,145,381,292,215,2217,2322,3-5-2,287,639,193,215,2149,2304,0,2,L
22,22,4-2-3-1,315,602,206,150,2095,2258,4-2-3-1,218,849,190,291,2219,2211,0,0,D
23,23,4-2-3-1,241,485,80,243,2377,2358,4-4-1-1,285,588,435,370,2314,2342,2,0,W
24,24,4-2-3-1,203,508,405,150,2171,2212,4-2-3-1,218,446,118,297,2169,2207,3,0,W
25,25,4-2-3-1,224,518,75,353,2282,2445,4-4-1-1,277,435,282,278,2224,2210,0,0,D
26,26,3-4-3,312,300,260,340,2232,2267,3-4-3,226,483,146,152,2346,2317,2,0,W
27,27,4-3-3,301,462,83,311,2268,2290,3-4-3,165,601,133,370,2237,2258,4,0,W
28,28,4-2-3-1,346,459,0,277,2223,2208,4-4-1-1,214,485,237,387,2255,2233,1,1,D
29,29,4-2-3-1,311,401,295,135,1893,1985,3-4-3,278,491,357,211,2011,2188,1,1,D
30,30,3-4-3,165,601,133,370,2237,2258,3-5-2,402,469,213,298,2128,2199,3,0,W
